person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_amnt_optimised
21,9600.0,5.0,1,1000,11.14,0,0.10416666666666667,0,2,0,0,1,0,0,1,0,0,0,0,1000.0
25,9600.0,1.0,2,5500,12.87,1,0.5729166666666666,0,3,1,0,0,0,0,0,0,1,0,0,1476.0
23,65500.0,4.0,2,35000,15.23,1,0.5343511450381679,0,2,0,0,0,1,0,0,0,1,0,0,19934.0
24,54400.0,8.0,2,35000,14.27,1,0.6433823529411765,1,4,0,0,0,1,0,0,0,1,0,0,16556.0
21,9900.0,2.0,0,2500,7.14,1,0.25252525252525254,0,2,0,0,1,0,0,0,0,0,0,1,1523.0
26,77100.0,8.0,1,35000,12.42,1,0.45395590142671854,0,3,0,0,0,1,0,1,0,0,0,0,23465.0
24,78956.0,5.0,1,35000,11.11,1,0.44328486752115104,0,4,0,0,0,1,0,0,0,1,0,0,24294.0
24,83000.0,8.0,0,35000,8.9,1,0.42168674698795183,0,2,0,0,0,1,0,0,0,0,1,0,25538.0
21,10000.0,6.0,3,1600,14.74,1,0.16,0,3,0,0,1,0,0,0,0,0,0,1,1538.0
22,85000.0,6.0,1,35000,10.37,1,0.4117647058823529,0,4,0,0,0,1,0,0,0,0,0,1,26153.0
21,10000.0,2.0,0,4500,8.63,1,0.45,0,2,0,0,1,0,0,0,1,0,0,0,1538.0
23,95000.0,2.0,0,35000,7.9,1,0.3684210526315789,0,2,0,0,0,1,0,0,0,0,0,1,29230.0
26,108160.0,4.0,4,35000,18.39,1,0.323594674556213,0,4,0,0,0,1,0,1,0,0,0,0,23348.0
23,115000.0,2.0,0,35000,7.9,0,0.30434782608695654,0,4,0,0,0,1,0,1,0,0,0,0,35000.0
23,138000.0,7.0,1,30000,10.65,0,0.21739130434782608,0,3,1,0,0,0,1,0,0,0,0,0,30000.0
23,120000.0,0.0,0,35000,7.9,0,0.2916666666666667,0,4,0,0,0,1,0,1,0,0,0,0,35000.0
23,92111.0,7.0,5,35000,20.25,1,0.3799763329026935,0,4,0,0,0,1,0,0,0,1,0,0,200.0
23,113000.0,8.0,3,35000,18.25,1,0.30973451327433627,0,4,0,0,0,1,1,0,0,0,0,0,200.0
24,10800.0,8.0,1,1750,10.99,1,0.16203703703703703,0,2,1,0,0,0,0,1,0,0,0,0,1661.0
25,138000.0,2.0,0,35000,7.49,0,0.2536231884057971,0,4,0,0,0,1,0,0,0,0,0,1,35000.0
25,137000.0,9.0,4,34800,16.77,0,0.25401459854014596,1,2,0,0,0,1,0,0,0,0,1,0,34800.0
22,65000.0,4.0,3,34000,17.58,1,0.5230769230769231,0,4,0,0,0,1,0,1,0,0,0,0,19782.0
24,10980.0,0.0,0,1500,7.29,0,0.1366120218579235,0,3,0,0,1,0,0,0,0,0,1,0,1500.0
22,80000.0,3.0,3,33950,14.54,1,0.424375,1,4,0,0,0,1,0,0,0,0,1,0,24347.0
24,67746.0,8.0,2,33000,12.68,1,0.4871136303250376,0,3,0,0,0,1,0,0,1,0,0,0,20618.0
21,11000.0,3.0,4,4575,17.74,1,0.4159090909090909,1,3,1,0,0,0,0,0,0,0,0,1,1692.0
23,11000.0,0.0,0,1400,9.32,0,0.12727272727272726,0,3,0,0,1,0,0,0,0,0,1,0,1400.0
24,65000.0,6.0,1,32500,9.99,1,0.5,0,3,0,0,0,1,0,0,1,0,0,0,19999.0
21,11389.0,5.0,2,4000,12.84,1,0.3512160856967249,1,2,0,1,0,0,0,1,0,0,0,0,1752.0
21,11520.0,5.0,1,2000,11.12,1,0.1736111111111111,0,3,0,0,1,0,0,0,0,1,0,0,1772.0
25,120000.0,2.0,0,32000,6.62,0,0.26666666666666666,0,2,0,0,0,1,0,0,0,0,0,1,32000.0
26,95000.0,7.0,2,31050,14.17,1,0.3268421052631579,1,3,0,0,0,1,0,0,1,0,0,0,28913.0
25,138000.0,2.0,2,24250,13.85,0,0.17572463768115942,0,3,0,0,0,1,1,0,0,0,0,0,24250.0
26,138000.0,10.0,2,7800,13.49,0,0.05652173913043478,0,4,1,0,0,0,0,0,0,1,0,0,7800.0
21,12000.0,5.0,0,2500,7.51,1,0.20833333333333334,0,4,0,0,1,0,0,1,0,0,0,0,1846.0
22,48000.0,1.0,4,30000,18.39,1,0.625,0,2,0,0,0,1,0,1,0,0,0,0,200.0
24,64000.0,8.0,3,30000,14.54,1,0.46875,1,3,0,0,0,1,1,0,0,0,0,0,200.0
25,75000.0,4.0,3,30000,16.89,1,0.4,1,4,0,0,0,1,0,0,1,0,0,0,22826.0
23,71500.0,3.0,3,30000,10.99,1,0.4195804195804196,0,4,0,0,0,1,1,0,0,0,0,0,200.0
26,62050.0,6.0,4,30000,17.99,1,0.48348106365834004,0,2,0,0,0,1,0,0,0,1,0,0,200.0
24,12000.0,4.0,1,2500,12.69,1,0.20833333333333334,0,3,0,0,1,0,0,0,0,0,0,1,1846.0
26,138000.0,10.0,0,20000,7.88,0,0.14492753623188406,0,4,1,0,0,0,0,0,0,0,0,1,20000.0
23,138000.0,1.0,5,24250,19.41,0,0.17572463768115942,1,2,0,0,1,0,0,1,0,0,0,0,24250.0
26,138000.0,9.0,1,10000,10.38,0,0.07246376811594203,0,4,0,0,1,0,0,0,1,0,0,0,10000.0
26,138000.0,0.0,3,25000,15.33,0,0.18115942028985507,0,3,1,0,0,0,0,1,0,0,0,0,25000.0
25,138000.0,9.0,4,18000,16.45,0,0.13043478260869565,0,3,1,0,0,0,0,0,1,0,0,0,18000.0
26,80690.0,8.0,0,30000,7.49,1,0.37179328293468833,0,3,0,0,0,1,0,0,0,0,1,0,24827.0
22,66300.0,4.0,1,30000,12.69,1,0.45248868778280543,0,3,0,0,0,1,0,0,0,1,0,0,20178.0
26,89028.0,0.0,0,30000,6.62,1,0.33697263782180886,0,3,0,0,0,1,1,0,0,0,0,0,27393.0
24,78000.0,4.0,3,30000,10.99,1,0.38461538461538464,1,4,0,0,0,1,1,0,0,0,0,0,200.0
23,78000.0,7.0,5,30000,18.62,1,0.38461538461538464,1,3,0,0,0,1,1,0,0,0,0,0,200.0
23,92004.0,6.0,2,30000,15.23,1,0.32607277944437196,1,3,0,0,0,1,0,0,0,0,1,0,28001.0
23,97000.0,7.0,1,30000,10.65,1,0.30927835051546393,0,2,0,0,0,1,0,0,0,0,0,1,29846.0
25,120000.0,9.0,0,30000,7.9,0,0.25,0,4,0,0,0,1,0,1,0,0,0,0,30000.0
26,138000.0,4.0,2,10000,15.96,0,0.07246376811594203,1,3,0,0,0,1,0,0,0,0,1,0,10000.0
26,138000.0,0.0,1,20000,11.48,0,0.14492753623188406,0,3,0,0,0,1,0,0,0,0,0,1,20000.0
23,138000.0,3.0,0,35000,10.99,0,0.2536231884057971,0,4,0,0,1,0,0,0,0,0,1,0,35000.0
25,128000.0,9.0,0,30000,7.29,0,0.234375,0,4,0,0,0,1,0,0,0,0,1,0,30000.0
24,12000.0,2.0,4,1750,10.99,0,0.14583333333333334,1,3,0,0,1,0,0,0,0,0,0,1,1750.0
21,131000.0,0.0,0,30000,5.99,0,0.22900763358778625,0,4,0,0,0,1,0,0,0,0,0,1,30000.0
22,138000.0,6.0,1,12000,11.58,0,0.08695652173913043,0,2,0,0,1,0,0,0,0,0,0,1,12000.0
26,138000.0,0.0,1,10000,10.99,1,0.07246376811594203,0,4,1,0,0,0,0,1,0,0,0,0,10000.0
25,138000.0,9.0,3,25000,15.7,1,0.18115942028985507,0,2,1,0,0,0,0,0,0,1,0,0,200.0
22,70000.0,6.0,3,29100,15.99,1,0.4157142857142857,0,3,0,0,0,1,0,1,0,0,0,0,21304.0
22,12000.0,7.0,3,1500,14.84,0,0.125,1,3,1,0,0,0,0,1,0,0,0,0,1500.0
26,138000.0,10.0,1,28000,10.99,0,0.2028985507246377,0,3,0,0,1,0,0,0,1,0,0,0,28000.0
25,138000.0,9.0,3,20000,14.42,0,0.14492753623188406,1,2,1,0,0,0,0,0,1,0,0,0,20000.0
24,138000.0,9.0,0,9600,6.99,0,0.06956521739130435,0,2,1,0,0,0,0,1,0,0,0,0,9600.0
25,138000.0,2.0,2,25000,13.49,0,0.18115942028985507,0,4,0,0,0,1,0,0,0,1,0,0,25000.0
25,12000.0,0.0,2,3000,10.99,1,0.25,0,3,0,0,1,0,0,0,0,1,0,0,1846.0
22,56950.0,6.0,0,28000,10.99,1,0.4916593503072871,0,2,0,0,0,1,0,0,0,1,0,0,17332.0
21,12000.0,6.0,2,3000,13.61,1,0.25,1,3,0,0,1,0,0,1,0,0,0,0,1846.0
23,65000.0,2.0,0,28000,7.9,1,0.4307692307692308,0,2,0,0,0,1,0,1,0,0,0,0,19999.0
26,85000.0,2.0,0,28000,7.49,1,0.32941176470588235,0,3,0,0,0,1,0,0,0,0,0,1,26153.0
26,12000.0,2.0,0,6100,7.51,1,0.5083333333333333,0,3,0,0,1,0,0,1,0,0,0,0,1846.0
22,88000.0,6.0,1,28000,9.91,1,0.3181818181818182,0,3,0,0,0,1,0,0,0,0,0,1,27076.0
21,12000.0,0.0,2,4200,13.48,1,0.35,1,4,0,0,1,0,0,0,0,0,1,0,1846.0
22,12000.0,6.0,0,4750,7.14,1,0.3958333333333333,0,2,0,0,1,0,1,0,0,0,0,0,1846.0
24,83004.0,0.0,3,28000,15.99,1,0.33733314057153874,1,4,0,0,0,1,0,0,0,0,0,1,200.0
24,138000.0,2.0,2,18000,12.98,0,0.13043478260869565,1,3,0,0,0,1,0,1,0,0,0,0,18000.0
25,100000.0,5.0,1,28000,12.69,0,0.28,0,3,0,0,0,1,1,0,0,0,0,0,28000.0
26,110000.0,10.0,0,28000,8.9,0,0.2545454545454545,0,2,0,0,0,1,0,1,0,0,0,0,28000.0
26,12000.0,0.0,0,2700,10.99,1,0.225,0,4,0,0,1,0,1,0,0,0,0,0,1846.0
22,108000.0,6.0,1,28000,10.99,1,0.25925925925925924,0,4,0,0,0,1,0,1,0,0,0,0,28000.0
23,138000.0,7.0,1,28000,11.11,0,0.2028985507246377,0,2,0,0,0,1,1,0,0,0,0,0,28000.0
24,69000.0,2.0,0,27600,10.99,1,0.4,0,2,0,0,0,1,0,0,1,0,0,0,20999.0
21,12000.0,5.0,4,3250,15.68,1,0.2708333333333333,1,3,1,0,0,0,1,0,0,0,0,0,200.0
22,70000.0,4.0,2,27500,13.06,1,0.39285714285714285,1,3,0,0,0,1,0,1,0,0,0,0,21304.0
22,138000.0,6.0,1,25000,10.99,0,0.18115942028985507,0,2,0,0,1,0,0,0,0,0,1,0,25000.0
26,73200.0,5.0,3,27050,15.62,1,0.36953551912568305,1,2,0,0,0,1,0,0,0,0,0,1,18673.0
24,83000.0,5.0,2,27000,13.49,1,0.3253012048192771,1,2,0,0,0,1,0,0,0,0,1,0,25260.0
24,73399.0,0.0,3,27000,10.99,1,0.36785242305753485,0,3,0,0,0,1,0,0,0,0,0,1,200.0
23,62500.0,7.0,1,26000,11.71,1,0.416,0,2,0,0,0,1,0,0,0,1,0,0,19021.0
23,120000.0,1.0,1,25600,12.69,0,0.21333333333333335,0,3,0,0,0,1,0,1,0,0,0,0,25600.0
24,12360.0,2.0,2,1600,13.57,0,0.12944983818770225,0,3,0,0,1,0,0,0,0,1,0,0,1600.0
22,60000.0,0.0,1,25475,10.99,1,0.4245833333333333,0,3,0,0,0,1,0,0,0,0,0,1,18461.0
25,138000.0,3.0,2,20000,14.27,0,0.14492753623188406,1,4,1,0,0,0,0,0,0,1,0,0,20000.0
24,138000.0,8.0,1,20000,8.88,0,0.14492753623188406,0,4,0,0,1,0,0,0,1,0,0,0,20000.0
26,138000.0,10.0,1,21600,12.18,0,0.1565217391304348,0,3,1,0,0,0,0,0,1,0,0,0,21600.0
25,138000.0,6.0,3,11900,14.42,1,0.08623188405797101,1,3,1,0,0,0,1,0,0,0,0,0,200.0
26,138000.0,0.0,2,25000,14.17,0,0.18115942028985507,1,2,1,0,0,0,0,0,0,1,0,0,25000.0
25,138000.0,5.0,2,35000,13.99,0,0.2536231884057971,0,4,1,0,0,0,0,0,0,1,0,0,35000.0
23,83000.0,7.0,1,25300,10.99,1,0.30481927710843376,0,3,0,0,0,1,0,1,0,0,0,0,25260.0
22,12600.0,4.0,0,2000,5.42,1,0.15873015873015872,0,4,1,0,0,0,0,0,0,0,1,0,1938.0
25,12600.0,3.0,2,1750,13.61,0,0.1388888888888889,0,3,0,0,1,0,0,0,0,0,1,0,1750.0
21,42500.0,3.0,2,25000,12.73,1,0.5882352941176471,1,3,0,0,0,1,0,1,0,0,0,0,12934.0
24,41000.0,2.0,3,25000,10.99,1,0.6097560975609756,0,3,0,0,0,1,0,0,1,0,0,0,200.0
25,12816.0,0.0,2,3000,12.87,1,0.2340823970037453,1,4,0,0,1,0,1,0,0,0,0,0,1971.0
24,12960.0,1.0,1,3650,9.91,1,0.2816358024691358,0,3,1,0,0,0,0,0,1,0,0,0,1993.0
26,138000.0,4.0,1,20000,11.49,0,0.14492753623188406,0,4,1,0,0,0,0,0,1,0,0,0,20000.0
25,138000.0,0.0,4,30000,19.91,0,0.21739130434782608,1,2,1,0,0,0,0,0,1,0,0,0,30000.0
26,138000.0,6.0,1,35000,10.65,1,0.2536231884057971,0,2,1,0,0,0,0,1,0,0,0,0,35000.0
24,138000.0,0.0,1,6000,10.99,0,0.043478260869565216,0,4,0,0,0,1,0,0,0,1,0,0,6000.0
24,12960.0,0.0,1,4500,11.83,1,0.3472222222222222,0,4,1,0,0,0,1,0,0,0,0,0,1993.0
23,12996.0,0.0,2,2400,13.49,1,0.18467220683287167,1,2,0,0,1,0,1,0,0,0,0,0,1999.0
22,42000.0,6.0,3,25000,14.59,1,0.5952380952380952,1,2,0,0,0,1,0,0,0,1,0,0,864.0
